epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3224.84,1.20385,0.72703,0.96793,0.67462,0.32593,0.35445,0.19978,1.20098,0.70604,0.95513,0.01,0.01,0.01
2,5597.55,1.20097,0.72615,0.96643,0.6764,0.32964,0.35715,0.20067,1.19535,0.69187,0.95466,0.00999322,0.00999322,0.00999322
3,7962.03,1.19906,0.72492,0.96643,0.70757,0.32786,0.36336,0.20563,1.18471,0.68288,0.95207,0.00997288,0.00997288,0.00997288
4,10114.6,1.19625,0.7218,0.96445,0.69322,0.34101,0.37236,0.21229,1.17662,0.67282,0.94993,0.00993906,0.00993906,0.00993906
5,12565.7,1.19549,0.71984,0.96421,0.6997,0.34258,0.37639,0.21408,1.16964,0.66399,0.94723,0.00989183,0.00989183,0.00989183
