epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2681.99,1.24863,0.77717,0.96668,0.58181,0.30822,0.32905,0.18301,1.23092,0.73342,0.94163,0.00333029,0.00333029,0.00333029
2,4767.27,1.24046,0.76759,0.96135,0.58637,0.29346,0.32339,0.17984,1.2385,0.74339,0.94207,0.00659765,0.00659765,0.00659765
3,6586.03,1.25719,0.78553,0.96484,0.64159,0.27403,0.29512,0.16271,1.27608,0.78696,0.95625,0.00979901,0.00979901,0.00979901
4,9658.44,1.28061,0.81346,0.97299,0.63983,0.28556,0.30225,0.16621,1.26778,0.78117,0.95637,0.009703,0.009703,0.009703
5,13445.2,1.28169,0.81358,0.97288,0.55075,0.28628,0.30662,0.1677,1.26174,0.76625,0.95196,0.009604,0.009604,0.009604
