epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1492.95,1.31147,0.85785,0.99051,0.61131,0.26622,0.28449,0.1568,1.28107,0.79803,0.95987,0.00333029,0.00333029,0.00333029
2,3224.19,1.30136,0.84438,0.98363,0.67936,0.26507,0.27954,0.15308,1.29319,0.80927,0.96409,0.00659765,0.00659765,0.00659765
3,4891.38,1.33069,0.87457,0.99278,0.58322,0.25352,0.2601,0.14054,1.32698,0.84669,0.98006,0.00979901,0.00979901,0.00979901
4,6516.98,1.35196,0.898,1.00049,0.58195,0.25951,0.26681,0.14523,1.3076,0.83703,0.97254,0.009703,0.009703,0.009703
5,7991.18,1.33878,0.88117,0.99515,0.6021,0.26457,0.28237,0.15434,1.28787,0.80371,0.9646,0.009604,0.009604,0.009604
6,9906.96,1.32826,0.86911,0.99169,0.70058,0.2785,0.29778,0.16331,1.27186,0.78125,0.95792,0.009505,0.009505,0.009505
7,11299.5,1.31847,0.85684,0.9889,0.62626,0.27941,0.30095,0.16664,1.25932,0.76611,0.95311,0.009406,0.009406,0.009406
8,12435.2,1.31235,0.84953,0.98567,0.63438,0.28443,0.30753,0.17136,1.24631,0.75578,0.94909,0.009307,0.009307,0.009307
9,13572.6,1.30709,0.84324,0.9839,0.63395,0.29047,0.31509,0.17524,1.24071,0.74376,0.94882,0.009208,0.009208,0.009208
