epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3914.74,1.3551,0.93348,1.00308,0.43926,0.23623,0.24729,0.13685,1.34487,0.89181,0.97627,0.00333029,0.00333029,0.00333029
2,7229.63,1.37578,0.94215,1.00648,0.41243,0.22588,0.23179,0.12529,1.37745,0.95725,0.98835,0.00659765,0.00659765,0.00659765
3,10049.4,1.4109,0.97393,1.01894,0.63502,0.22384,0.22348,0.1193,1.38621,0.94737,1.00171,0.00979901,0.00979901,0.00979901
4,12933.2,1.4045,0.96264,1.01925,0.57827,0.24338,0.2503,0.13355,1.34501,0.86804,0.98386,0.009703,0.009703,0.009703
