epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1608.1,1.3037,1.02325,1.00423,0.56125,0.28282,0.30008,0.16741,1.26572,0.80659,0.96724,0.00333105,0.00333105,0.00333105
2,3551.5,1.32088,0.87577,1.00531,0.45733,0.26384,0.28101,0.15185,1.30218,0.82744,0.99475,0.00665986,0.00665986,0.00665986
3,4593.74,1.36245,0.9186,1.0261,0.52028,0.24761,0.25727,0.13739,1.32018,0.85716,1.01523,0.0099706,0.0099706,0.0099706
4,5377.63,1.33908,0.88957,1.02026,0.63503,0.28017,0.30372,0.16765,1.25163,0.76385,0.9837,0.00993906,0.00993906,0.00993906
5,6256.49,1.29507,0.83547,1.00306,0.64647,0.2986,0.32548,0.18147,1.21884,0.72426,0.96864,0.00989183,0.00989183,0.00989183
6,7661.81,1.27033,0.80717,0.99356,0.74729,0.30906,0.34364,0.1935,1.1987,0.69976,0.9614,0.00983133,0.00983133,0.00983133
7,9086.29,1.25729,0.78999,0.98761,0.69961,0.32408,0.35391,0.20116,1.18794,0.68465,0.95681,0.00975773,0.00975773,0.00975773
8,9873.73,1.24543,0.77798,0.98342,0.76238,0.32221,0.36363,0.20839,1.17775,0.67264,0.95209,0.00967122,0.00967122,0.00967122
9,10611.2,1.23828,0.76947,0.98027,0.68228,0.33386,0.37057,0.21144,1.17091,0.66367,0.94953,0.00957205,0.00957205,0.00957205
10,12063.1,1.22855,0.75982,0.97799,0.68886,0.33408,0.37441,0.21443,1.16565,0.65751,0.94788,0.00946048,0.00946048,0.00946048
11,12973.4,1.22406,0.75423,0.97564,0.69665,0.33174,0.37696,0.21646,1.16231,0.65357,0.94647,0.00933683,0.00933683,0.00933683
