epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1896.77,1.25114,0.78001,0.96817,0.63821,0.2933,0.31943,0.17809,1.23606,0.74197,0.94402,0.00333029,0.00333029,0.00333029
2,3580.56,1.25464,0.78381,0.96681,0.63714,0.29095,0.31046,0.173,1.25265,0.75864,0.94836,0.00659765,0.00659765,0.00659765
3,5463.89,1.27683,0.80881,0.9728,0.60104,0.28517,0.29627,0.16231,1.27814,0.78999,0.96109,0.00979901,0.00979901,0.00979901
4,7362.41,1.30176,0.83681,0.98143,0.68303,0.2762,0.29464,0.16342,1.27453,0.79137,0.96088,0.009703,0.009703,0.009703
5,9107.15,1.29994,0.83424,0.98015,0.53354,0.2852,0.30074,0.16644,1.26326,0.77393,0.95335,0.009604,0.009604,0.009604
6,11580.4,1.29724,0.8312,0.97993,0.63282,0.28663,0.30928,0.17105,1.25313,0.76054,0.94852,0.009505,0.009505,0.009505
7,13906.2,1.29259,0.82526,0.97823,0.63065,0.29893,0.31493,0.17575,1.24561,0.74906,0.94754,0.009406,0.009406,0.009406
