epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2926.69,1.24762,0.77478,0.96552,0.63321,0.30653,0.32539,0.18195,1.2318,0.73761,0.9396,0.00333029,0.00333029,0.00333029
2,5388.35,1.24514,0.77227,0.96296,0.64389,0.30131,0.32093,0.17921,1.24339,0.74662,0.9434,0.00659765,0.00659765,0.00659765
3,8141.77,1.26456,0.79346,0.96823,0.61004,0.28121,0.29225,0.16076,1.27375,0.7881,0.95899,0.00979901,0.00979901,0.00979901
4,10790,1.28826,0.82188,0.97629,0.63608,0.28435,0.29372,0.16129,1.27175,0.78662,0.9562,0.009703,0.009703,0.009703
5,13367.1,1.2881,0.82082,0.97557,0.62664,0.28485,0.30704,0.1692,1.26001,0.76425,0.95277,0.009604,0.009604,0.009604
